book,chapter,verse,text_Tagalog,text_Hiligaynon
Exodus,1,14,"at kanilang pinapait ang kanilang buhay sa pamamagitan ng mahirap na paglilingkod, sa luwad at sa tisa, at sa lahat ng uri ng gawain sa bukid; at sa lahat ng kanilang gawain ay malupit silang pinapaglingkod. Ipinapatay ang mga Batang Lalaki",Wala gid sila sing kaluoy sa mga Israelinhon. Ginpabudlayan gid nila sila paagi sa pagpatrabaho sa ila sa mga tisa kag pangsemento. Kag ginpaobra nila sila sing tudo-tudo sa uma.
Exodus,1,15,"Ang hari ng Ehipto ay nagsalita sa mga hilot na mga Hebrea, na ang pangalan ng isa ay Sifra, at ang pangalan ng ikalawa ay Pua.","Dayon nagsiling ang hari sang Egipto sa mga Hebreo nga paltera nga sila ni Shifra kag Pua,"
Exodus,1,16,"Kanyang sinabi, “Paghilot ninyo sa mga babaing Hebrea at pagtingin ninyo sa kanila sa upuang panganganakan, kung lalaki ay papatayin ninyo; ngunit kung babae ay mabubuhay ito.”","“Sa inyo pagpabata sa mga Hebreo nga babayi, patya ninyo ang bata kon lalaki, pero kon babayi, indi lang pagpatya.”"
Exodus,1,17,"Subalit ang mga hilot ay natakot sa Diyos at hindi nila ginawa ang gaya nang iniutos sa kanila ng hari ng Ehipto, kundi hinayaan nilang mabuhay ang mga batang lalaki.","Pero tungod nga nahadlok ang mga paltera sa Dios, wala nila pagtumana ang ginsiling sang hari, sa baylo ginpabay-an nila nga mabuhi ang mga lapsag nga lalaki."
Exodus,1,18,"Ipinatawag ng hari ng Ehipto ang mga hilot at sinabi sa kanila, “Bakit ninyo ginawa ang bagay na ito at hinayaan ninyong mabuhay ang mga batang lalaki?”","Gani ginpatawag sang hari sang Egipto ang mga paltera kag ginpamangkot, “Ngaa ginhimo ninyo ini? Ngaa ginpabay-an ninyo nga mabuhi ang mga lapsag nga lalaki?”"
Exodus,1,19,"Sinabi ng mga hilot sa Faraon, “Sapagkat ang mga babaing Hebrea ay hindi gaya ng mga babaing Ehipcia. Sila'y malalakas at nakapanganak na bago dumating ang hilot sa kanila.”","Nagsabat ang mga paltera, “Ang mga Hebreo nga babayi indi pareho sa mga Egiptohanon nga babayi; mahapos lang sila magbata kag sa wala pa kami makaabot nakabata na sila.”"
Exodus,1,20,Kaya't ang Diyos ay naging mabuti sa mga hilot; at ang taong-bayan ay dumami at naging napakalakas.,"Gani ginpakamaayo sang Dios ang mga paltera, kag nagdamo pa gid nga nagdamo ang mga Israelinhon."
Exodus,1,21,"Dahil ang mga hilot ay natakot sa Diyos, kanyang binigyan sila ng mga sambahayan.","Kag tungod nga nagatahod ang mga paltera sa Dios, ginhatagan sila sang Dios sang ila kaugalingon nga pamilya."
Exodus,1,22,"Pagkatapos, iniutos ni Faraon sa kanyang buong bayan, “Itatapon ninyo sa ilog ang bawat lalaking ipanganak ngunit bawat babae ay hayaan ninyong mabuhay.”","Sang ulihi nagmando ang hari sang Egipto sa tanan niya nga katawhan, “Ipanghaboy ninyo sa Suba sang Nilo ang tanan nga bata nga lalaki sang mga Israelinhon nga bag-o natawo, pero pabay-i lang nga mabuhi ang mga bata nga babayi.”"
Exodus,2,1,May isang lalaki sa lipi ni Levi na humayo at nag-asawa ng isang anak na babae ni Levi.,May isa ka tawo nga kaliwat ni Levi nga nakapangasawa sang isa ka babayi nga kaliwat man ni Levi.
Exodus,2,2,"Ang babae ay naglihi at nanganak ng isang lalaki. Nang kanyang makita na ito ay maganda, kanyang itinago ito ng tatlong buwan.","Nagbusong ini nga babayi kag nagbata sing lalaki. Sang makita niya nga maayo ang lawas sang bata, gintago niya ini sa sulod sang tatlo ka bulan."
Exodus,2,3,"Nang hindi na niya ito maitago pa, ikinuha niya ito ng isang basket na yari sa papiro, at pinahiran niya ng betun at alkitran. Kanyang isinilid ang bata roon at inilagay sa talahiban sa tabi ng ilog.","Pero sang indi na niya matago ang bata, nagkuha siya sang basket nga hinimo halin sa tanom nga papyrus kag ginpintahan niya ini sang alkitran. Dayon ginsulod niya ang bata sa sini nga basket kag ginbutang ang basket sa mga tigbaw sa higad sang Suba sang Nilo."
Exodus,2,4,Tumayo sa malayo ang kanyang kapatid na babae upang malaman ang mangyayari sa bata.,Ang utod nga babayi sang sini nga bata nagatindog sa unhan nga nagatan-aw kon ano ang matabo sa bata.
Exodus,2,5,"Noon, ang anak na babae ni Faraon ay lumusong upang maligo sa ilog, at naglakad ang kanyang mga alalay na babae sa tabi ng ilog. Kanyang nakita ang basket sa talahiban at ipinakuha sa kanyang alalay.","Karon, ang anak nga babayi sang hari sang Egipto nagkadto sa Suba sang Nilo agod magpaligo. Kag samtang nagapaligo siya, ang iya mga suluguon nga babayi nagalakat-lakat sa higad. Karon, nakita niya ang basket sa mga tigbaw, gani ginpakuha niya ini sa isa sang iya mga suluguon."
Exodus,2,6,"Nang kanyang buksan ito, nakita niya ang bata; at narito, ang sanggol ay umiyak. At kanyang kinaawaan siya at sinabi, “Ito'y isa sa mga anak ng mga Hebreo.”","Dayon ginbuksan niya ang basket kag nakita niya ang bata nga nagahibi, gani naluoy gid siya sa bata. Nagsiling siya, “Isa ini sa mga Hebreo nga bata.”"
Exodus,2,7,"Nang magkagayo'y sinabi ng kanyang kapatid na babae sa anak ng Faraon, “Aalis ba ako upang itawag kita ng isang tagapag-alaga mula sa mga babaing Hebrea na mag-aalaga ng bata para sa iyo?”","Dayon nagpalapit ang utod nga babayi sang bata sa prinsesa kag nagpamangkot, “Gusto mo bala nga kuhaan ko ikaw sang isa ka Hebreo nga babayi nga magpatiti kag mag-atipan sang bata para sa imo?”"
Exodus,2,8,"Sinabi sa kanya ng anak ng Faraon, “Umalis ka.” Ang batang babae ay umalis at tinawag ang ina ng bata.","Nagsabat ang prinsesa, “Sige.” Gani naglakat ang utod sang bata kag ginkadtuan niya ang ila iloy kag gindala sa prinsesa."
Exodus,2,9,"Sinabi ng anak ng Faraon sa kanya, “Dalhin mo ang batang ito at alagaan mo para sa akin at uupahan kita.” Kaya't kinuha ng babae ang bata at inalagaan ito.","Nagsiling ang prinsesa sa iloy sang bata, “Dal-a ini nga bata kag patitia para sa akon. Atipana siya kay suhulan ko ikaw.” Gani ginkuha niya ang bata kag gin-atipan."
Exodus,2,10,"Ang bata ay lumaki at kanyang dinala ito sa anak ng Faraon, at ito'y naging kanyang anak. Kanyang pinangalanan siyang Moises, dahil sinabi niya, “Sapagkat aking iniahon siya sa tubig.” Tumakas si Moises Patungong Midian","Sang nalutas na ang bata, gindala siya sang iya iloy sa prinsesa, kag ginkabig siya sang prinsesa nga iya anak. Gin-ngalanan sang prinsesa ang bata nga Moises, kay siling niya, “Ginkuha ko siya sa tubig.” Nagpalagyo si Moises sa Midian"
Exodus,2,11,"Nang mga araw na iyon, nang malaki na si Moises, nagtungo siya sa kanyang mga kapatid, at nakita ang kanilang sapilitang paggawa. Kanyang nakita ang isang Ehipcio na binubugbog ang isang Hebreo na isa sa kanyang mga kapatid.","Isa ka adlaw, sang dako na si Moises, nagkadto siya sa iya mga kadugo, kag nakita niya nga ginapigos sila kag ginapaobra sing tudo-tudo gid. Nakita niya ang isa ka Egiptohanon nga nagakastigo sang isa ka Hebreo nga iya kadugo."
Exodus,2,12,"Siya'y tumingin sa magkabi-kabilang dako at nang siya'y walang makitang tao, kanyang pinatay ang Ehipcio at kanyang itinago sa buhanginan.","Nagpanan-aw tan-aw si Moises sa palibot kon may nagatulok; kag sang wala siya sing may nakita, ginpatay niya ang Egiptohanon kag ginlubong ang bangkay sa balas."
Exodus,2,13,"Nang siya'y lumabas nang sumunod na araw, may dalawang lalaking Hebreo na naglalaban; at kanyang sinabi sa gumawa ng masama, “Bakit mo sinasaktan ang iyong kasama?”","Pagkasunod nga adlaw, naglakat liwat siya kag nakita niya ang duha ka Hebreo nga nagaaway. Ginpamangkot niya ang isa nga may sala, “Ngaa ginakastigo mo ang imo kapareho nga Hebreo?”"
Exodus,2,14,"Sinabi niya, “Sinong naglagay sa iyo bilang pinuno at hukom sa amin? Iniisip mo bang patayin ako, gaya nang pagpatay mo sa Ehipcio?” Natakot si Moises at kanyang inisip, “Tiyak na ang bagay na ito ay alam na.”","Nagsabat ang tawo, “Sin-o ang naghimo sa imo nga pangulo kag manughukom namon? Ano, patyon mo man bala ako pareho sa ginhimo mo sa Egiptohanon kahapon ?” Hinadlukan si Moises kag nagsiling sa iya kaugalingon, “Nahibaluan gali sang mga tawo ang akon ginhimo.”"
Exodus,2,15,"Nang mabalitaan ng Faraon ang bagay na ito, ninais niyang patayin si Moises. Subalit si Moises ay tumakas mula kay Faraon at nanirahan sa lupain ng Midian. Siya'y umupo sa tabi ng isang balon.","Pagkahibalo sang hari sang Egipto sa ginhimo ni Moises, nagtinguha siya sa pagpatay sa iya, pero nagpalagyo si Moises sa Midian kag didto nag-estar. Pag-abot niya sa Midian, nagpungko siya sa kilid sang bubon."
Exodus,2,16,Ang pari noon sa Midian ay may pitong anak na babae. Sila'y dumating at umigib ng tubig at kanilang pinuno ang mga inuman upang painumin ang kawan ng kanilang ama.,"Karon, ang pito ka anak nga babayi sang pari sa Midian nagkadto sa bubon sa pagsag-ob para sa mga ilimnan sang mga sapat sang ila amay."
Exodus,2,17,"Ang mga pastol ay dumating at sila'y ipinagtabuyan; ngunit si Moises ay tumindig at sila'y ipinagtanggol, at pinainom ang kanilang kawan.","May nag-abot man didto nga mga manugbantay sang sapat kag ginpahalin nila ang mga babayi kag ang ila mga sapat, pero ginbuligan sila ni Moises kag ginpainom pa niya ang ila mga sapat."
Exodus,2,18,"Nang sila'y dumating kay Reuel na kanilang ama ay sinabi nito, “Bakit napakadali ninyong dumating ngayon?”","Pagpauli sang mga babayi sa ila amay nga si Reuel, ginpamangkot niya sila, “Ngaa temprano pa kamo nagpauli subong?”"
Exodus,2,19,"Kanilang sinabi, “Iniligtas kami ng isang Ehipcio mula sa kamay ng mga pastol at saka iniigib pa niya kami ng tubig at pinainom ang kawan.”","Nagsabat sila, “May isa ka Egiptohanon nga nagbulig sa amon kontra sa mga manugbantay sang sapat, kag ginsag-uban pa gani niya kami kag ginpainom ang amon mga sapat.”"
Exodus,2,20,"Sinabi niya sa kanyang mga anak, “Saan siya naroon? Bakit ninyo iniwan ang lalaking iyon? Tawagin ninyo siya upang makakain ng tinapay.”","Nagpamangkot ang ila amay, “Ti, diin na siya? Ngaa ginbayaan ninyo siya? Tawga ninyo siya kag agdaha nga magkaon.”"
Exodus,2,21,Si Moises ay nasiyahang makitira sa lalaking iyon at kanyang ibinigay kay Moises si Zifora na kanyang anak na babae.,"Nagsugot si Moises nga magdayon sa balay ni Reuel, kag sang ulihi ginpaasawa ni Reuel sa iya ang iya anak nga si Zipora."
Exodus,2,22,"Nanganak siya ng isang lalaki at kanyang pinangalanang Gershom sapagkat sinabi ni Moises, “Ako'y manlalakbay sa ibang lupain.”","Nagbusong si Zipora kag nagbata sing lalaki, kag gin-ngalanan siya ni Moises nga Gershom, kay siling niya, “Dumuluong ako sa sini nga lugar.”"
Exodus,2,23,"Pagkaraan ng maraming araw, ang hari ng Ehipto ay namatay. Ang bayang Israel ay dumaing dahil sa pagkaalipin at sila'y humingi ng tulong. Ang kanilang daing dahil sa pagkaalipin ay nakarating sa Diyos.","Pagkaligad sang malawig nga tinuig, napatay ang hari sang Egipto. Pero sige gihapon ang pag-antos sang mga Israelinhon sa ila pagkaulipon. Nagpangayo sila sang bulig, kag nakaabot ini sa Dios."
Exodus,2,24,"Narinig ng Diyos ang kanilang daing at naalala ng Diyos ang kanyang tipan kina Abraham, Isaac, at Jacob.","Nabatian sang Dios ang ila mga pag-ugayong, kag gindumdom niya ang iya kasugtanan kay Abraham, Isaac, kag kay Jacob."
Exodus,2,25,At tiningnan ng Diyos ang mga anak ni Israel at nalaman ng Diyos ang kanilang kalagayan.,Nakita sang Dios ang ila kahimtangan kag naluoy gid siya sa ila.
Exodus,3,1,"Noon ay inaalagaan ni Moises ang kawan ni Jetro na kanyang biyenan na pari sa Midian; kanyang pinatnubayan ang kawan sa kabila ng ilang at nakarating sa bundok ng Diyos, sa Horeb.","Isa ka adlaw, nagabantay si Moises sa mga kasapatan sang iya ugangan nga si Jetro nga pari sang Midian. Gindala ni Moises ang mga sapat sa unhan sang kamingawan kag nakaabot siya sa Horeb, ang bukid sang Dios."
Exodus,3,2,Ang anghel ng Panginoon ay nagpakita sa kanya sa isang ningas ng apoy na mula sa gitna ng isang mababang punungkahoy. Siya'y nagmasid at ang punungkahoy ay nagliliyab ngunit ito'y hindi nasusunog.,Didto nagpakita sa iya ang anghel sang Ginoo sa dagway sang nagadabadaba nga kalayo sa tunga sang kahoy-kahoy. Nakita ni Moises nga nagadabadaba ang kahoy-kahoy pero wala ini nagakasunog.
Exodus,3,3,"Sinabi ni Moises, “Ako'y pupunta sa kabila at titingnan ko itong dakilang panooring ito, kung bakit ang punungkahoy ay hindi nasusunog.”","Nagsiling siya, “Makatilingala! Ngaa bala wala nagakasunog ina nga kahoy-kahoy? Palapitan ko abi kag tan-awon.”"
Exodus,3,4,"Nang makita ng Panginoon na siya'y pumunta sa kabila upang tumingin ay tinawag siya ng Diyos mula sa gitna ng mababang punungkahoy, “Moises, Moises.” Sumagot siya, “Narito ako.”","Pagkakita sang Ginoo nga nagpalapit si Moises sa pagtan-aw, nagtawag siya sa iya halin sa tunga sang kahoy-kahoy, “Moises, Moises!” Nagsabat si Moises, “Ano tani?”"
Exodus,3,5,"Kanyang sinabi, “Huwag kang lumapit dito. Hubarin mo ang sandalyas sa iyong mga paa sapagkat ang dakong iyong kinatatayuan ay banal na lupa.”","Nagsiling ang Dios, “Indi ka na magpalapit pa. Ubaha ang imo sandalyas, kay balaan ang lugar nga imo ginatindugan."
Exodus,3,6,"Sinabi pa niya, “Ako ang Diyos ng iyong ama, ang Diyos ni Abraham, ang Diyos ni Isaac, at ang Diyos ni Jacob.” Si Moises ay nagtakip ng kanyang mukha sapagkat siya'y natakot na tumingin sa Diyos. Sinugo ng Diyos si Moises","Ako ang Dios sang imo mga katigulangan, ang Dios ni Abraham, Isaac, kag Jacob.” Sang mabatian ini ni Moises, gintabunan niya ang iya guya, kay nahadlok siya magtan-aw sa Dios."
Exodus,3,7,"Sinabi ng Panginoon , “Aking nakita ang paghihirap ng aking bayan na nasa Ehipto at aking narinig ang kanilang daing dahil sa mga umaapi sa kanila. Talagang nalalaman ko ang kanilang pagdurusa.","Dayon nagsiling ang Ginoo , “Nakita ko gid ang pag-antos sang akon katawhan sa Egipto. Nabatian ko ang ila pagpangayo sang bulig tungod sa pagpigos sa ila sang mga nagadumala sa ila sa trabaho, kag naluoy gid ako sa ila tungod sa ila mga pag-antos."
Exodus,3,8,"Ako'y bumaba upang iligtas sila mula sa kamay ng mga Ehipcio at upang sila'y dalhin sa isang mabuting lupain at malawak, mula sa lupaing iyon, sa isang lupaing dinadaluyan ng gatas at pulot, sa lugar ng mga Cananeo, Heteo, Amoreo, Perezeo, Heveo at Jebuseo.","Gani nagpanaog ako sa pagluwas sa ila sa kamot sang mga Egiptohanon, kag sa pagdala sa ila sa maayo, malapad, kag mapatubason nga duta, nga ginaestaran subong sang mga Canaanhon, Hithanon, Amornon, Periznon, Hivhanon, kag mga Jebusnon."
Exodus,3,9,"At ngayon, ang daing ng mga anak ni Israel ay nakarating sa akin, at nakita ko rin ang pang-aapi na ginawa sa kanila ng mga Ehipcio.","Oo, nabatian ko ang pagpangayo sang bulig sang mga Israelinhon, kag nakita ko kon paano sila ginapigos sang mga Egiptohanon."
Exodus,3,10,"Halika, ikaw ay aking susuguin kay Faraon upang iyong ilabas sa Ehipto ang aking bayan, ang mga anak ni Israel.”",Gani ipadala ko ikaw sa hari sang Egipto sa pagpaguwa sang akon katawhan nga mga Israelinhon sa Egipto.”
Exodus,3,11,"Sinabi ni Moises sa Diyos, “Sino ako upang pumaroon kay Faraon at upang ilabas sa Ehipto ang mga anak ni Israel?”","Pero nagsiling si Moises sa Dios, “Sin-o gid ako nga magkadto sa hari kag magpaguwa sang mga Israelinhon sa Egipto?”"
Exodus,3,12,"Kanyang sinabi, “Ako'y makakasama mo; at ito'y magiging tanda sa iyo na ikaw ay aking sinugo: kapag iyong nailabas na sa Ehipto ang bayan, sasambahin ninyo ang Diyos sa bundok na ito.”","Nagsiling ang Dios, “Magaupod ako sa imo, kag amo ini ang mangin tanda nga ako ang nagpadala sa imo: Kon mapaguwa mo na gani ang mga Israelinhon sa Egipto, magasimba kamo sa akon sa sini nga bukid.”"
Exodus,3,13,"Ngunit sinabi ni Moises sa Diyos, “Pagdating ko sa mga anak ni Israel at sasabihin ko sa kanila, ‘Sinugo ako sa inyo ng Diyos ng inyong mga ninuno,’ at sasabihin nila sa akin, ‘Ano ang kanyang pangalan?’ Anong sasabihin ko sa kanila?”","Nagsiling si Moises sa Dios, “Halimbawa, makadto ako sa mga Israelinhon kag magsiling sa ila nga ang Dios sang ila mga katigulangan amo ang nagpadala sa akon sa pagluwas sa ila, kag mamangkot sila sa akon, ‘Sin-o ang iya ngalan?’ Ti, ano ang akon isabat sa ila?”"
Exodus,3,14,"Sinabi ng Diyos kay Moises, “AKO AY ANG AKO NGA.” At kanyang sinabi, “Ganito ang sasabihin mo sa mga anak ni Israel, ‘Sinugo ako sa inyo ni AKO NGA.’”","Nagsabat ang Dios kay Moises, “Ako ang Dios nga amo sa gihapon. Amo ini ang imo isabat sa ila: ‘Ang Dios nga amo sa gihapon amo ang nagpadala sa akon sa inyo.’ ”"
Exodus,3,15,"Sinabi pa ng Diyos kay Moises, “Ganito ang sasabihin mo sa mga anak ni Israel, ‘Sinugo ako sa inyo ng Panginoon , ang Diyos ng inyong mga ninuno, ang Diyos ni Abraham, ang Diyos ni Isaac, at ang Diyos ni Jacob.’ Ito ang aking pangalan magpakailanman at ito ang itatawag sa akin ng lahat ng mga lahi.","Nagsiling pa gid ang Dios kay Moises, “Ihambal ini sa mga Israelinhon: ‘Ang Ginoo , ang Dios sang inyo mga katigulangan nga si Abraham, Isaac, kag Jacob, amo ang nagpadala sa akon sa inyo.’ Kilalahon ako sa akon ngalan nga Ginoo hasta san-o.”"
Exodus,3,16,"Humayo ka at tipunin mo ang matatanda sa Israel at sabihin mo sa kanila, ‘Ang Panginoon , ang Diyos ng inyong mga ninuno, ang Diyos nina Abraham, Isaac, at Jacob ay nagpakita sa akin, na nagsasabi, “Tunay na kayo'y aking dinalaw at aking nakita ang ginagawa sa inyo sa Ehipto.","Dayon nagsiling ang Ginoo kay Moises, “Lakat kag tipuna ang mga manugdumala sang Israel kag silinga sila, ‘Ang Ginoo , ang Dios sang inyo mga katigulangan nga si Abraham, Isaac, kag Jacob, nagpakita sa akon, kag nagsiling: Ginabantayan ko gid kamo, kag nakita ko ang ginahimo sang mga Egiptohanon sa inyo."
Exodus,3,17,"At aking sinabi, aking aalisin kayo sa kapighatian sa Ehipto at dadalhin ko kayo sa lupain ng Cananeo, Heteo, Amoreo, Perezeo, Heveo, at ng Jebuseo, sa isang lupaing dinadaluyan ng gatas at pulot.”’","Nagapromisa ako nga paguwaon ko kamo sa Egipto nga sa diin nagaantos kamo, kag dal-on sa duta sang mga Canaanhon, Hithanon, Amornon, Periznon, Hivhanon, kag mga Jebusnon—ang duta nga maayo kag mapatubason.’"
Exodus,3,18,"Kanilang papakinggan ang iyong tinig. Ikaw at ang matatanda sa Israel ay pupunta sa hari ng Ehipto, at inyong sasabihin sa kanya, ‘Ang Panginoon , ang Diyos ng mga Hebreo ay nakipagtagpo sa amin at ngayo'y pahintulutan mo kami na maglakbay ng tatlong araw sa ilang. Nais naming makapaghandog sa Panginoon naming Diyos.’","“Magapamati sa imo ang mga manugdumala sang Israel. Kag dayon, ikaw kag ang mga manugdumala magkadto sa hari sang Egipto kag magsiling sa iya, ‘Nagpakigkita sa amon ang Ginoo , ang Dios sang mga Hebreo. Gani kon mahimo tuguti kami sa paglakat sing tatlo ka adlaw sa kamingawan sa paghalad sa Ginoo nga amon Dios.’"
Exodus,3,19,Alam ko na hindi kayo papahintulutan ng hari ng Ehipto na umalis maliban sa pamamagitan ng isang makapangyarihang kamay.,Pero nahibaluan ko nga indi kamo pagtugutan sang hari sang Egipto luwas lang kon may magpilit sa iya.
Exodus,3,20,"Kaya't aking iuunat ang aking kamay at sasaktan ko ang Ehipto sa pamamagitan ng lahat kong kababalaghan na aking gagawin sa gitna niyon at pagkatapos, papahintulutan niya kayong umalis.",Gani silutan ko ang mga Egiptohanon paagi sa mga milagro nga himuon ko sa ila. Pagkatapos tugutan na niya kamo sa paglakat.
Exodus,3,21,Pagkakalooban ko ang bayang ito ng biyaya sa paningin ng mga Ehipcio at sa pag-alis ninyo ay hindi kayo aalis na walang dala.,"Kag himuon ko nga magmaayo sa inyo ang mga Egiptohanon, agod kon maglakat na kamo pabalunan pa nila kamo."
Exodus,3,22,"Bawat babae ay hihingi sa kanyang kapwa at ang dayuhan sa kanyang bahay ng mga hiyas na pilak, mga hiyas na ginto at mga damit, at inyong ipapasuot sa inyong mga anak na lalaki at babae. Sa ganito ay inyong sasamsaman ang mga Ehipcio.”","Ang mga babayi nga Israelinhon magapangayo sang mga alahas nga pilak kag bulawan kag sang mga bayo sa ila kaingod nga mga Egiptohanon kag sa mga dumuluong didto sa Egipto. Kag ipasuksok ninyo ini nga mga butang sa inyo mga kabataan. Sa sini nga paagi, makuhaan ninyo sang mga pagkabutang ang mga Egiptohanon.”"
Exodus,4,1,"Si Moises ay sumagot at nagsabi, “Ngunit hindi nila ako papaniwalaan o papakinggan man sapagkat kanilang sasabihin, ‘Ang Panginoon ay hindi nagpakita sa iyo.’”","Nagsabat si Moises, “Paano kon indi magpati sa akon ang mga Israelinhon ukon magpamati sa akon isiling? Basi magsiling sila nga wala ka nagpakita sa akon.”"
Exodus,4,2,"Sinabi naman sa kanya ng Panginoon , “Ano iyang nasa iyong kamay?” Kanyang sinabi, “Isang tungkod.”","Nagsiling ang Ginoo sa iya, “Ano inang ginauyatan mo?” Nagsabat si Moises, “Baston.”"
Exodus,4,3,"Kanyang sinabi, “Ihagis mo sa lupa.” Kanyang inihagis ito sa lupa at ito'y naging isang ahas. Si Moises ay lumayo sa ahas.","Nagsiling ang Ginoo , “Ihaboy ina sa duta.” Gani ginhaboy ni Moises ang baston kag nahimo ini nga man-og. Hinadlukan si Moises, gani nagdalagan siya palayo sini."
Exodus,4,4,"Sinabi ng Panginoon kay Moises, “Iunat mo ang iyong kamay at hawakan mo sa buntot.” Kanyang iniunat ang kanyang kamay, kanyang hinawakan, at naging isang tungkod sa kanyang kamay.","Nagsiling ang Ginoo sa iya, “Dakpa ang man-og sa ikog.” Gani gindakop ni Moises ang man-og kag nahimo ini liwat nga baston."
Exodus,4,5,"“Nangyari ito upang sila'y maniwala na ang Panginoon , ang Diyos ng kanilang mga ninuno, ang Diyos ni Abraham, ang Diyos ni Isaac, at ang Diyos ni Jacob ay nagpakita sa iyo.”","Nagsiling ang Ginoo , “Himua ini nga milagro agod magpati sila nga ako, ang Ginoo , ang Dios sang ila mga katigulangan nga si Abraham, Isaac, kag Jacob, nagpakita sa imo.”"
Exodus,4,6,"Sinabi pa sa kanya ng Panginoon , “Ipasok mo ang iyong kamay sa iyong dibdib.” Kanyang ipinasok ang kamay niya sa kanyang dibdib at nang kanyang ilabas, ang kanyang kamay ay ketongin, maputing parang niyebe.","Nagsiling pa gid ang Ginoo , “Ibutang ang imo kamot sa sulod sang imo bayo.” Gintuman ini ni Moises, kag sang ginkuha na niya ang iya kamot, puwerte ini kaputi tungod nga gintubuan ini sang delikado nga balatian sa panit."
Exodus,4,7,"Sinabi ng Diyos, “Ipasok mo uli ang iyong kamay sa iyong dibdib.” Kanyang muling ipinasok ang kamay niya sa kanyang dibdib at nang kanyang ilabas sa kanyang dibdib, nanumbalik ito gaya ng iba niyang laman.","Nagsiling ang Ginoo , “Ibutang liwat ang imo kamot sa sulod sang imo bayo.” Gintuman ini ni Moises, kag sang ginkuha na niya ang iya kamot, maayo na ini pareho sa iban nga mga parte sang iya lawas."
Exodus,4,8,"“Kung sila'y hindi maniwala sa iyo, ni makinig sa unang tanda, kanilang paniniwalaan ang huling tanda.","Dayon nagsiling ang Ginoo , “Kon indi sila magpati sa una nga milagro, mapati na sila sa ikaduha."
