Tagalog,Translation
nakapanganak,egiptohanon
ehipcia,egiptohanon
binigyan,sang
dahil,sa
ilog,ang
lalaking,nga
itatapon,sa
pagkatapos,ang
hayaan,sa
ipanganak,sang
nag,nga
humayo,sa
asawa,nga
lipi,ni
nanganak,nga
maganda,nga
itinago,sa
tatlong,ka
buwan,sa
makita,nga
naglihi,nga
yari,nga
inilagay,sa
bata,ang
talahiban,sa
alkitran,sa
basket,sa
papiro,papyrus
betun,sa
pa,ang
isinilid,papyrus
pinahiran,ang
maitago,papyrus
ikinuha,papyrus
roon,nga
tabi,sa
mangyayari,sa
malayo,sa
malaman,sa
tumayo,sa
alalay,magpaligo
maligo,magpaligo
noon,sa
nakita,nga
naglakad,sa
ipinakuha,magpaligo
lumusong,sa
sanggol,nga
hebreo,sa
umiyak,sa
buksan,sa
narito,nga
siya,nga
kinaawaan,sa
mag,sa
magkagayo,sa
ako,sa
itawag,sa
alaga,nga
mula,sa
para,nga
ba,sa
iyo,sa
kita,sa
aalaga,sa
tagapag,nga
aalis,sa
tinawag,nga
ka,sa
ina,sa
kinuha,ang
dalhin,sa
mo,sa
akin,sa
uupahan,sa
inalagaan,nga
alagaan,sa
siyang,ang
dinala,sa
tumakas,ang
moises,moises
tubig,ang
midian,midian
pinangalanan,ang
iniahon,gindala
aking,sa
lumaki,nga
patungong,gindala
malaki,sa
binubugbog,kadugo
nagtungo,sa
araw,sa
tao,ang
magkabi,nagpanan
kabilang,sa
buhanginan,nagpanan
tumingin,sa
makitang,sa
walang,nga
pinatay,sa
dako,sa
iyong,sa
naglalaban,hebreo
gumawa,nga
lumabas,ang
masama,ang
dalawang,nga
sumunod,ang
sinasaktan,hebreo
hukom,sa
alam,sa
bilang,nga
iniisip,sa
tiyak,nga
bang,sa
pinuno,sang
inisip,sa
amin,sa
patayin,sa
sinong,sa
pagpatay,sa
nanirahan,sa
balon,sang
kay,ang
mabalitaan,sa
umupo,sa
niyang,nga
ninais,sa
pari,nga
ama,sa
kawan,ang
inuman,sa
painumin,sa
umigib,sa
pitong,ka
ipinagtabuyan,ang
ipinagtanggol,ila
pastol,ang
pinainom,ang
tumindig,nga
nito,nga
reuel,reuel
ngayon,sa
napakadali,nga
iniigib,egiptohanon
kamay,ang
saka,sa
iniligtas,sa
kami,sa
makakain,nga
iniwan,ang
tinapay,nga
saan,nga
naroon,ang
tawagin,ila
ibinigay,nga
makitira,ni
zifora,ni
nasiyahang,ni
manlalakbay,sa
gershom,sa
pinangalanang,nga
ibang,nga
humingi,sa
daing,kag
tulong,sa
nakarating,sa
pagkaraan,sa
maraming,sa
bayang,ang
dumaing,sa
pagkaalipin,sa
kina,kag
narinig,ang
abraham,abraham
isaac,isaac
naalala,ang
tipan,ang
tiningnan,sang
nalaman,nga
kalagayan,sa
ilang,sa
kabila,nga
jetro,si
horeb,sa
pinatnubayan,sa
biyenan,ang
bundok,sa
inaalagaan,sa
nagmasid,sa
panginoon,sa
gitna,sa
punungkahoy,nga
mababang,sa
nagliliyab,sa
apoy,nga
nasusunog,nagakasunog
nagpakita,sa
anghel,sa
ningas,sa
dakilang,nga
pupunta,kag
ko,sa
panooring,ngaa
itong,nga
titingnan,nga
sumagot,nga
pumunta,sa
dakong,nga
lupa,sa
lumapit,sa
huwag,indi
banal,nga
sandalyas,sandalyas
hubarin,nagsiling
kinatatayuan,magpalapit
dito,nga
kang,sa
paa,nga
nagtakip,imo
sinugo,sa
mukha,sa
pagdurusa,nabatian
umaapi,nabatian
talagang,sa
nalalaman,sa
paghihirap,sa
malawak,ila
perezeo,periznon
bumaba,sa
dinadaluyan,sa
pulot,sa
mabuting,nga
iligtas,sa
gatas,sa
cananeo,kag
jebuseo,amornon
amoreo,amornon
lupaing,nga
lugar,sa
heteo,hithanon
heveo,hivhanon
rin,sa
pang,sa
aapi,nabatian
ilabas,sa
ikaw,sa
susuguin,nga
halika,sa
pumaroon,sa
sino,o
nailabas,amo
sasambahin,dios
tanda,sa
magiging,nga
makakasama,sa
sasabihin,ang
ninuno,sa
pagdating,ang
ano,ang
anong,ang
inyong,sa
inyo,sa
nga,sa
ganito,ang
magpakailanman,nga
lahi,sa
itatawag,sa
tipunin,sa
nina,kag
kayo,sa
tunay,ang
ginagawa,sa
dinalaw,sa
nagsasabi,sa
sabihin,sa
matatanda,kag
kapighatian,ako
dadalhin,sa
aalisin,ang
naming,sa
maglakbay,sa
ngayo,nga
pahintulutan,sa
nakipagtagpo,sa
tinig,ang
nais,ang
papakinggan,sa
makapaghandog,sa
makapangyarihang,sa
papahintulutan,ko
maliban,lang
kababalaghan,sa
iuunat,sa
sasaktan,sa
niyon,nga
kayong,sa
kong,nga
gagawin,ang
paningin,sa
biyaya,sa
pagkakalooban,maglakat
dala,sa
alis,sa
pag,sa
hihingi,ila
pilak,sa
sasamsaman,ila
bahay,sa
dayuhan,sa
ipapasuot,ila
hiyas,ila
ginto,nga
kapwa,ang
damit,nga
papaniwalaan,sa
nagsabi,nga
man,nga
o,nga
naman,nga
iyang,sa
tungkod,sa
inihagis,sa
ahas,ang
lumayo,ang
ihagis,sa
iniunat,sa
hinawakan,ang
hawakan,sa
buntot,sa
iunat,sa
maniwala,sa
nangyari,sa
parang,nga
dibdib,sa
niyebe,imo
ketongin,sa
ipasok,imo
maputing,ang
ipinasok,sa
iba,sa
muling,ang
nanumbalik,imo
uli,nga
laman,sa
unang,nga
paniniwalaan,sa
makinig,sa
huling,sa
nilo,suba
kukunin,kag
tuyong,sa
kukuha,nga
ibubuhos,sa
dugo,sa
tandang,sa
mahusay,nga
magsalita,sa
dila,sa
pananalita,sa
umid,sa
kahit,sa
lingkod,sa
makupad,sa
akong,nga
bulag,sa
pipi,sa
bingi,sa
gumagawa,ang
bibig,sa
ituturo,sa
sasaiyong,sa
suguin,kon
salubungin,sa
wala,sa
levita,sa
aaron,aaron
mong,sa
galit,sa
alab,sa
dumarating,sa
pagkakita,sa
puso,ang
laban,sa
nakakapagsalitang,naakig
matutuwa,naakig
salita,ang
ilalagay,sa
magsasalita,ang
sasakanyang,sa
tagapagsalita,sa
gagamitin,sa
nagbalik,sa
buháy,nga
payapa,nga
bumalik,sa
nagtatangka,magpatay
patay,ang
pinasakay,gindala
asno,asno
isinama,ang
ipinagkatiwala,sa
papayagang,sa
papatigasin,sa
pagkabalik,sa
gawin,sa
harap,sa
panganay,ang
sabi,ang
ayaw,sa
paalisin,ang
sinasabi,ang
makasamba,sa
sinalubong,mga
pinagpalipasan,bana
daan,ang
gabi,ang
tinangka,bana
kapistahan,sa
magdiwang,sa
papahintulutang,sa
namin,sa
darating,sa
salot,ang
kaming,nga
tabak,sa
ipinapakiusap,sa
alay,sa
inilalayo,ila
pahirap,nga
dinagdagan,nga
pinapapagpahinga,nga
ding,nga
kapatas,sa
dati,ang
dayami,nga
magtipon,sa
sarili,sa
bibigyan,sa
tamad,amo
aming,sa
babawasin,amo
dumadaing,sa
maghandog,sa
dating,ang
iaatang,sa
pabigatin,sing
kabulaanang,sing
pansinin,sing
pagpagalan,sing
kumuha,sang
kaunti,ang
makakakita,nga
mismo,ang
trigo,ang
naghiwa,sa
hiwalay,sa
pinagputulan,sa
panghalili,sa
maghanap,sa
gawa,nga
tapusin,sa
pinagmamadali,amo
mayroon,nga
itinalaga,sa
tinapos,sa
kahapon,sa
hinampas,sa
tinanong,sa
ginaganito,amo
alipin,nga
naparoon,sa
ibinibigay,nga
dayaming,amo
sariling,nga
hinahampas,amo
kasalanan,sa
gayunma,ang
gayunding,amo
nawawalan,amo
ibibigay,sa
loob,sa
magtrabaho,amo
napasama,ila
anuman,sa
mababawas,ila
makatagpo,sa
naghihintay,ila
pagkagaling,ila
hatulan,naakig
nawa,ang
katayuan,naakig
mata,ang
nakakamuhi,naakig
ginawan,ang
isinugo,ila
kasamaan,sa
lamang,sa
makikita,ang
paaalisin,sa
palalayasin,sa
pangalang,nga
nagpakilala,ila
makapangyarihan,sa
itinatag,nga
nakipanirahan,ila
canaan,canaan
bukod,sa
inaalipin,nabatian
ilalim,sa
ilalabas,kag
pasanin,ang
tutubusin,ang
hahanguin,amo
nakaunat,amo
kahatulan,sa
nagpalaya,amo
malalaman,nga
pagpapahirap,amo
aariing,amo
ipinangakong,amo
pamana,sa
nakinig,sa
gayon,sa
panlulupaypay,ila
pumasok,sa
pahintulutang,ang
di,ang
ngang,nga
paano,sa
makikinig,sa
tungkol,sa
pinagbilinan,kag
carmi,anak
angkan,ang
hanoc,anak
puno,ang
hesron,anak
fallu,anak
jakin,sa
jamin,sa
shaul,sa
jemuel,sa
taga,sa
ohad,sa
zohar,anak
tatlumpu,nga
taon,tuig
merari,anak
kohat,anak
gershon,anak
ayon,ang
salinlahi,sa
shimei,amo
kani,ang
libni,amo
hebron,hebron
izar,amo
uziel,anak
amram,amo
mahli,amo
musi,amo
ipinanganak,nga
jokebed,amo
kora,ni
zicri,amo
nefeg,amo
elzafan,ni
misael,ni
sitri,amo
eleazar,eleazar
eliseba,amo
abihu,ang
naashon,amo
nadab,ang
aminadab,amo
itamar,nga
korahita,amo
elkana,amo
abiasaf,amo
asir,amo
nakapag,amo
ulo,ang
finehas,amo
putiel,amo
hukbo,sang
yamang,sa
propeta,sa
iniuutos,ang
pararamihin,ang
lupang,ang
ipapatong,ang
paghatol,sa
inilabas,sa
walumpu,tuig
walumpung,sing
usap,sa
gulang,tuig
makipag,sa
patunayan,imo
maging,nga
kunin,nga
manggagaway,ila
gayundin,nga
kaalaman,sa
lihim,ila
pantas,sa
salamangkero,sa
nilamon,ang
pinakinggan,ang
pinagmatigas,ang
nagmatigas,ang
nagmamatigas,pagpalakton
patungo,sa
kinaumagahan,sa
harapin,sa
tinutupad,hebreo
payagan,sa
hanggang,nga
makikilala,amo
hahampasin,sa
uminom,kag
babaho,magabaho
mandidiring,magabaho
mamamatay,ang
isda,kag
magkakaroon,sa
lawa,sapa
tipunan,amo
kahoy,nga
bambang,sapa
sisidlang,sa
bato,sang
itinaas,sa
bumaho,ang
makainom,mga
pakinggan,ang
umuwi,sa
tumalikod,sa
mainom,sa
makakuha,nagkutkot
humukay,nga
palibot,sa
maiinom,ang
lumipas,pito
hampasin,aaron
sasalutin,pagpalakton
palaka,paka
tulugan,sa
higaan,sa
hurno,sa
papasok,ang
aahon,sa
mapupuno,sa
masahan,sa
aakyatin,nga
magpaahon,sapa
hawak,sa
tinakpan,sa
ahunan,sa
nagpaahon,ila
karunungan,sa
alisin,sa
pakiusapan,kamo
makikiusap,amo
maalis,ang
pakisabi,amo
kailan,sa
manatili,ang
bukas,nga
tulad,sa
mananatili,ang
harapan,sa
nanawagan,sa
kabukiran,ni
looban,sa
bunton,kag
buntun,ila
tinipon,sang
langaw,ang
dininig,ang
sandaling,ang
ginhawa,ang
kuto,ang
alabok,sa
hayop,nga
nagawa,nga
nagsikap,ila
magpalabas,ila
daliri,sa
bumangon,sa
maaga,sa
kinaroroonan,sa
pulu,sa
pulutong,sa
magsusugo,sa
ibubukod,sa
goshen,sa
magkaroon,sa
tinitirhan,sa
doon,sa
lalagyan,sa
pagkakaiba,sa
kinabukasan,sa
nasira,ang
karumaldumal,nga
handog,nga
ihahandog,sa
tama,sa
babatuhin,ang
iaalay,sa
uutos,sa
maghahandog,sang
paglalakbay,sa
ipag,sa
hahayo,sa
masyadong,sa
lalayo,sa
idalangin,sa
papayagan,kamo
hihilingin,sa
muli,ang
pagkaalis,sa
pagpayag,sa
mandaya,sa
nanalangin,sa
natira,sa
inalis,ang
pinayagang,pagpalakta
pinatigas,ginpatig
puntahan,sa
tatanggihan,gani
pipigilin,pagpalakton
kamelyo,kamelyo
kabayo,sa
magbibigay,sa
matinding,sa
mamatay,sa
gagawa,nga
nauukol,pagtratar
panahon,nga
nagtakda,nga
israelita,sa
nagsugo,sa
pigsa,sa
himpapawid,sa
isaboy,sa
dumakot,sa
abo,sa
dakot,sa
susugat,sa
pigsang,sa
pinong,nga
sumusugat,sa
isinaboy,sa
makatayo,egiptohanon
nagkapigsa,egiptohanon
daigdig,sa
sana,sa
dalhan,sa
maaari,ang
nawala,sa
maipakita,sa
kapangyarihan,sa
binuhay,sa
layuning,sa
mahayag,nga
nagmamalaki,maglakat
oras,sa
ulan,ang
yelong,ang
itatag,amo
ganitong,nga
mabibigat,sa
kailanma,sa
magpapabagsak,amo
maabutan,sa
aari,nga
magsugo,sa
maisilong,sa
ipasilong,sa
babagsakan,sa
nagpauwi,ila
nagwalang,ila
pinabayaan,ila
bahala,ila
langit,ang
paharap,sa
halaman,sa
babagsak,sa
yelo,sa
kulog,ang
bumagsak,sa
nagpaulan,ang
nagpadala,ang
kailanman,ang
gayo,ang
bansa,mga
gayong,ang
napakabigat,ang
sumisiklab,amo
binagsakan,sa
binali,sa
pati,ang
nagkasala,sa
pagkakataong,sa
samantalang,kag
matuwid,ang
sapat,ang
titigil,sa
pagkalabas,sa
panginoong,nga
natatakot,imo
uuhay,barley
lino,nga
namumulaklak,barley
sebada,ang
espelta,pa
tumutubo,ang
tumigil,sang
bumuhos,sa
pandinig,sa
maisalaysay,amo
pinuntahan,sa
tatangging,amo
magpakumbaba,sa
magdadala,sang
balang,sang
kakainin,nga
ibabaw,nga
tatakpan,sa
naiwan,ang
nilisan,imo
mapasa,sa
magulang,sa
iyan,ang
nauunawaan,ila
makapaglingkod,sa
bitag,sa
wasak,sa
maglingkod,sa
sinu,ang
pinabalik,sa
kailangang,sa
pista,sa
sumainyo,kamo
maliliit,kamo
masamang,nga
binabalak,ang
sumamba,sa
kalalakihan,sa
maaaring,nga
hinihingi,amo
kainin,nga
nagpahihip,sa
hanging,sa
amihan,sa
umaga,nga
dumagsa,sa
totoong,sa
lumapag,sa
hangganan,sa
napakakapal,sa
anumang,nga
natirang,sa
bunga,sa
sariwang,sa
nagdilim,sa
kinain,nga
nagmamadaling,sa
ilayo,sa
ipatawad,sa
nakakamatay,sa
hilingin,sa
nakiusap,ang
habagat,nakatundan
tumangay,nakatundan
dagat,ang
itinaboy,sa
pula,nga
nasasakupan,sa
kadiliman,ang
mararamdaman,imo
kadilimang,imo
magdilim,imo
makapal,sa
tirahan,sa
sinuman,nga
liwanag,ang
magkakitaan,ila
isama,sa
iwan,sa
maihandog,sa
dapat,nga
magbigay,sa
sinusunog,nga
pumili,sa
pagsamba,sa
maiiwan,sa
isasama,sa
ilan,sa
tiyakin,sa
papalayo,nga
itataboy,nakasiling
pumayag,ang
alahas,ila
dakila,ang
hatinggabi,amo
lalabas,sa
trono,amo
likuran,sa
nakaupo,sa
gilingan,amo
aliping,nga
panaghoy,sa
aso,sa
uungol,egiptohanon
naglalagay,egiptohanon
sumusunod,sa
yuyukod,sa
dudulog,sa
pinahintulutan,ang
kababalaghang,sa
pasimula,sang
buwang,sa
ikasampung,sang
kapulungan,sa
kordero,sa
pagbilang,sa
kapitbahay,ila
magsasalu,ila
napakaliit,ila
malapit,nga
salo,ila
kambing,nga
kapintasan,nga
tupa,nga
iingatan,nga
ikalabing,sa
paglubog,ang
apat,nga
kapisanan,sa
kakainan,kamo
haligi,ang
pinto,ang
itaas,ang
pintuan,sa
gulay,amo
mapapait,amo
pampaalsa,nga
inihaw,ang
gabing,i
hilaw,hilaw
pinakuluan,hilaw
kakaining,hilaw
susunugin,sa
matitira,kag
magtitira,kag
bigkis,sa
baywang,amo
paraan,nga
dali,sa
paskuwa,sa
nakasuot,amo
ilalapat,sa
pupuksain,sa
dadaan,amo
hatol,sa
pinuksa,amo
lalampasan,sa
papatay,kamo
tuntunin,nga
alaala,sa
ipagdiriwang,sa
kumain,nga
kakain,sang
sinumang,ang
ititiwalag,nga
ikapitong,sa
din,ang
ihanda,sa
pagtitipon,sa
nararapat,sa
ipapangilin,nga
ikadalawampu,sa
matatagpuang,ang
banyaga,sa
magpatay,sa
inyu,sa
palanggana,sa
dugong,sa
ilubog,sa
pahiran,sa
isopo,ang
daraan,sa
pintong,egiptohanon
hahayaang,egiptohanon
mamumuksa,egiptohanon
ipinangako,sa
tutuparin,ang
ibig,ang
itinanong,inyo
pagdiriwang,kag
paghahandog,sa
nagyukod,amo
nilampasan,amo
nilipol,ginsugo
bilangguan,sa
pagsapit,i
bihag,amo
sambahin,sa
maghanda,sa
pagpalain,nga
madaliang,ila
pinapagmadali,sa
pinaalis,sa
masa,gindala
balikat,nga
harina,sa
ipinasan,sa
nakabalot,sa
nilagyan,sa
minasang,gindala
sinamsaman,ila
hingin,sa
naglakbay,sa
libong,sa
animnaraang,sa
sucot,sa
umahon,nga
napakaraming,ang
makapaghintay,gindala
makapaghanda,gindala
niluto,sa
pagkain,sa
tatlumpung,ka
apatnaraan,ka
katapusan,sang
ipangingilin,ila
pagbabantay,sa
salapi,sa
binili,nga
tuli,ang
upahan,nga
alilang,nga
babaliin,sa
buto,sa
labas,ang
maninirahang,sa
tutuliin,ang
mangingilin,sa
makakakain,nga
makakalapit,sa
makakapangilin,sa
iisa,nga
kautusan,sa
dayuhang,sa
naninirahang,sa
italaga,sa
nagbubukas,kamagulangan
lakas,ang
alalahanin,sa
abib,sa
pangingilin,sa
makakita,sa
pagitan,sa
magsisilbing,sa
sumaiyong,sa
ingatan,sa
takdang,sa
taun,sa
pagtatalaga,sa
tuntuning,sa
pagkabigay,sa
leeg,ang
tayo,kita
nagtanong,sa
panahong,sa
inihahandog,sa
magmatigas,amo
payagang,amo
tinutubos,amo
bagaman,nga
filisteo,mga
daang,ang
nakakita,nga
magbalikan,amo
magsisi,amo
pakikipaglaban,sa
handa,sa
paikot,sa
pansin,gindala
pinapanumpa,gindala
bibigyang,gindala
rito,sa
mahigpit,sa
etam,etam
humimpil,sa
tanglawan,ila
haliging,nga
nangunguna,ila
patnubayan,ila
makapaglakad,ila
ulap,sa
unahan,kag
tapat,sa
pihahirot,sa
zefon,sa
hihimpil,sa
baal,sa
migdol,sa
nagkabuhul,sa
buhol,sa
nakukulong,sa
hahabulin,mga
pararangalan,ako
hinayaang,sa
mapaglingkuran,sa
masabi,sa
nagbago,sa
tayong,nagsiling
inihanda,kag
karwahe,ang
piling,sang
mamumuno,sa
nagdala,sa
katapangan,faraon
hinabol,mga
lubos,ang
mangangabayo,ang
nakahimpil,amo
inabutan,ila
nakitang,sa
lubhang,ang
tumawag,sa
papalapit,sa
libingan,sa
pabayaan,egiptohanon
magpakatatag,egiptohanon
pagliligtas,sa
matakot,sa
nakikita,sa
masdan,sa
ipaglalaban,sa
manahimik,sa
magpatuloy,sa
tumatawag,sa
makaraan,sa
hawiin,makatabok
sundan,egiptohanon
pagmamatigasin,egiptohanon
buo,sa
karangalan,ang
nakakuha,ako
likod,kag
hulihan,sa
magdamag,sa
lumagay,egiptohanon
nagkalapit,egiptohanon
mayroong,sa
pinaghiwalay,sa
nahawi,sa
ginawang,sa
silangan,ang
pader,sa
gawing,ang
kaliwa,ang
kanan,ang
humabol,ila
kasunod,nga
niligalig,sa
tinunghayan,sa
hirap,ila
nalunod,amo
ikot,amo
bara,amo
takbuhan,sa
gulong,amo
ipinaglalaban,amo
tumabon,ila
uumaga,egiptohanon
lalim,egiptohanon
tumatakas,sa
lumakad,sa
dalampasigan,sa
sumampalataya,sa
nakasakay,sa
maluwalhating,sa
inawit,sa
awit,sa
nagtagumpay,sa
doo,sa
aawit,sa
kalakasan,sa
kaligtasan,amo
itataas,sa
pupurihin,ang
mandirigma,kag
inilubog,sa
itinapon,sa
lumubog,sa
tumatabon,sa
kalaliman,sa
dumudurog,imo
kanang,ang
maluwalhati,imo
ibinubuwal,amo
ipinapakita,amo
karilagan,amo
bumabangon,amo
nililipol,amo
kadakilaan,imo
hihip,pader
ilong,sa
namuo,pader
tumayong,sa
natipon,sa
agos,sa
bubunutin,ila
lilipulin,ang
masisiyahan,ila
samsam,ang
hahatiin,ang
aabutan,ila
tinabunan,sa
humihip,sa
hangin,sa
karagatan,sa
tingga,sa
kabanalan,sa
nakakasindak,sa
maluluwalhating,sa
tinubos,ginluwas
inihatid,sa
wagas,sa
tahanan,sa
filistia,sa
nanginig,sa
kumapit,sa
sakit,ang
naupos,moab
nagimbal,moab
edom,edom
sumakmal,moab
panginginig,moab
moab,moab
matatapang,moab
batong,nga
panghihilakbot,sa
sindak,ang
umabot,sa
makakilos,sa
bisig,sa
papapasukin,imo
ari,ang
itatanim,imo
arian,ang
santuwaryo,ang
magpakailanpaman,sing
maghahari,sa
pinanunumbalik,sa
nangangabayo,ang
pandereta,propeta
miriam,sa
nagsayawan,propeta
humawak,propeta
umawit,ila
inawitan,ila
shur,sa
mara,sa
patuloy,sa
nakatagpo,sa
pinangunahan,gindala
mapait,sa
iinumin,tungod
nagreklamo,moises
batas,nga
sinubok,sa
itinuro,ila
tumamis,ila
utos,sa
nagpapagaling,egiptohanon
susundin,akon
tiyaga,egiptohanon
diringgin,sa
karamdaman,sa
palma,sa
elim,sa
bukal,tuburan
labindalawang,sa
ikalawang,nga
sinai,sa
ikalabinlimang,sa
sin,sa
palayok,sa
maupo,gindala
gutom,nga
karne,makakaon
mabusog,sa
kapulungang,gindala
lalakad,sa
pauulanan,sa
bahagi,nga
mamumulot,sa
masubok,sa
pinupulot,sa
maghahanda,sa
dami,ang
doble,sa
ikaanim,nga
naglabas,sa
naririnig,sang
kaluwalhatian,nga
pagrereklamo,nabatian
nagrereklamo,nabatian
makakabusog,nabatian
pagkaing,sa
karneng,nabatian
reklamo,nabatian
lumitaw,sa
pugo,ang
manna,nga
magpapakabusog,amo
ipinagkaloob,dios
sumapit,ila
hamog,ang
nakalatag,sa
kampo,sa
kasinliit,tun
namuong,tun
pumaitaas,ang
munting,sa
bilog,tun
tolda,sa
omer,ka
kailangan,ang
pumulot,gantang
namulot,diutay
sukatin,gantang
kinulang,gantang
lumabis,may
magtira,ila
nagalit,sa
pamumulot,naakig
inuod,naakig
nagtira,naakig
namumulot,nagakatunaw
natutunaw,nagakatunaw
tuwing,sa
umiinit,nagakatunaw
pakuluan,sa
lutuin,ila
lalabis,ila
sabbath,sa
itago,ila
ititira,ila
pagpapahinga,sa
pakukuluan,sa
taimtim,sa
lulutuin,sa
uod,ila
anim,ka
mamulot,manguha
natagpuan,sa
tatanggihang,pagpanudlo
tuparin,ang
nagpahinga,sa
manipis,sa
lasa,sa
maputi,sa
kulantro,sa
itatago,amo
magtabi,amo
ipinakain,amo
lagyan,sa
ilagay,sa
maingatan,sa
punô,sa
paanong,sa
apatnapung,ka
matitirahan,amo
efa,nga
refidim,sa
nilakbay,sa
nagkampo,sa
nakikipagtalo,ako
bigyan,sang
sinusubok,ako
nakipagtalo,ang
uhaw,ila
nauhaw,ila
kulang,ang
batuhin,sa
ipinalo,kuhaa
dumaan,sa
tatayo,sa
bubukalan,sa
pakikipagtalo,sa
kalagitnaan,sa
amalek,mga
massah,sa
meriba,sa
nakipaglaban,sa
taluktok,kag
josue,josue
burol,sa
hur,sa
umakyat,sa
tuktok,sa
nananalo,ni
ibinababa,ni
itinataas,ni
panig,sa
ibaba,sa
inupuan,sa
nangalay,amo
nanatili,sa
inalalayan,amo
talim,ni
nilupig,ang
buburahin,sa
lubusang,sa
isulat,sa
aklat,sa
basahin,sa
watawat,sa
dambana,halaran
nagtayo,sang
makikipagdigma,ila
susunod,ang
nakabalita,nabatian
dalawa,sa
saklolo,amo
eliezer,amo
ipinasabi,siya
biyenang,kay
naparito,ang
hinalikan,ang
niyukuran,sa
nagtanungan,sa
alang,ang
naranasan,ila
isinalaysay,sa
kabutihang,sa
ikinagalak,ila
nagligtas,ila
purihin,sa
magpalalo,ila
pinayuhan,sa
kasalo,sa
naupo,sa
nakatayo,sa
nauupo,sa
sumangguni,sa
lumalapit,sang
usapin,sa
hinahatulan,ila
ipinaaalam,ila
manghihina,imo
makakayang,imo
payo,sa
sumaiyo,ila
kinatawan,ila
ipapaalam,ila
lakaran,dios
gawang,sa
mamuno,sa
lima,sang
takot,sa
napopoot,sa
libu,sa
limampu,sa
sampu,nga
suhol,sa
pipili,sa
libo,sa
kakayahan,nga
mapagkakatiwalaan,sa
magpapasiya,mag
humatol,sa
magpapasan,sa
madali,sa
malaking,nga
uuwing,amo
makakatagal,amo
nagpapasiya,sa
dinadala,sa
pinayagan,ni
ikatlong,nga
makaalis,sa
tungo,sa
pakpak,ang
inilapit,sa
agila,ang
salitang,sa
kaharian,ang
ipinahayag,sa
iniulat,ginsugo
nagkaisang,ginsugo
marinig,sa
nakikipag,sa
paniwalaan,sa
kasuotan,nga
labhan,iya
humanda,sa
bababa,sa
ingat,sa
humipo,ang
papanain,sa
tumunog,sa
hihipo,sa
tambuli,sa
aakyat,sa
mahaba,sa
nilabhan,sa
pinabanal,ila
lalapit,ang
kumidlat,sa
tunog,sa
kumulog,sa
trumpeta,sa
katagpuin,gindala
paanan,sa
nabalot,nagtay
nayanig,nagtay
pumailanglang,nagtay
usok,sa
sinagot,pa
papalakas,pa
balaan,ila
panoorin,ila
lumampas,sa
makapagpigil,pari
pabanalin,ila
makakaakyat,sa
nagbilin,sa
ariing,sa
palampasin,sa
binigkas,ang
kawangis,dagway
inukit,dagway
larawan,sa
ikaapat,sa
paglingkuran,ila
mapanibughuin,sa
yuyukuran,ila
pinarurusahan,ila
ikatlo,sa
pinagpapakitaan,sa
umiibig,sa
tumutupad,sa
pawawalang,ang
kabuluhan,ang
